"field_name","field_group","source","retrieval_required","llm_required","lov_validation_required","uom_normalization_required","deterministic_rules_can_generate","character_limit","validation_requirements","notes_from_supplied_files_only"
"SKU - MY_PART_NUMBER","200-item input taxonomy/SKU","ground truth.docx: 200-item Input sheet = 200 raw rows and adds Dept / Class / Fine and SKU. Not on the 1000-item 6-column file.","No","No","No","No","Yes, if 200-item Input is provided: copy from input","Not specified in supplied files","Not specified in supplied files","The 200-item Input sheet was not supplied; ground truth.docx says Input adds Dept / Class / Fine and SKU to the raw columns. Excerpt: 1515863 / 1515867 on excerpt rows."
"Mfg_Part_Num","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Yes: copy from input","Not specified in supplied files","Not specified in supplied files","Raw input column. 1000-item file: 1000 rows, 999 unique values. Duplicate Mfg_Part_Num AVM6EV appears on two different Part_Desc rows."
"Part_Desc","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Yes: copy from input","Not specified in supplied files","Not specified in supplied files","Raw input column. Cryptic/abbreviated descriptions per ground truth.docx. Excerpt: PDSH4816AF Dishwasher SS - Display Only and the Whirlpool analog."
"E1_Brand","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Yes: copy from input; filter placeholders before matching or prompting","Not specified in supplied files","Treat -- Unbranded -- as empty (ground truth.docx).","Raw input column. Placeholder -- Unbranded -- means empty (ground truth.docx). 1000-item: 799 rows are that placeholder."
"Unilog_Brand","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Yes: copy from input; filter placeholders before matching or prompting","Not specified in supplied files","Treat -- No Unilog Brand -- as empty (ground truth.docx).","Raw input column. Placeholder -- No Unilog Brand -- means empty. 1000-item: 1000/1000 are that placeholder."
"DIB_Brand","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Yes: copy from input; filter placeholders before matching or prompting","Not specified in supplied files","Treat -- No DIB Brand -- as empty (ground truth.docx).","Raw input column. Placeholder -- No DIB Brand -- means empty. 1000-item: 755 rows are that placeholder."
"Part_Manuf","Raw input (passthrough on Delivery Format)","Unihack Sample Dataset Input / Sample-1000_Items.xlsx as described (6 columns). Also present on Delivery Format excerpt.","No","No","No","No","Copy from input is possible; canonical manufacturer is a different output field","Not specified in supplied files","Not specified in supplied files","Raw input column. Messy supplier strings; ground truth.docx says normalise via manufacturer master (file not supplied). 1000-item: 76 distinct values; 41 rows are a single hyphen. Excerpt Part_Manuf is a distributor (Appliance Dealers Cooperative (APPDE)), not the output MANUFACTURER_NAME."
"MANUFACTURER_NAME","Manufacturer and brand","UniCat manufacturer/brand master (described, not supplied). ground truth.docx: normalise supplier strings to a canonical manufacturer with exact legal casing, spacing, suffixes, and registered/trademark symbols. Where an item has no brand, the manufacturer name is used instead. Excerpt values are not equal to Part_Manuf.","Conditional: excerpt cannot be produced by copying Part_Manuf (APPDE vs Rheem Manufacturing / Whirlpool Corporation). Identifying the true manufacturer may require manufacturer-source data plus the master list.","No","Yes: must match UniCat_Manufacturer_and_Brand_List.xlsx exactly (described). List file not supplied.","No","Partial: fuzzy match to master list is described. The 27000+ rows are not in repo.","Not specified in supplied files","Exact match to approved MANUFACTURER_NAME including Inc/LLC/Ltd and symbols (ground truth.docx). Invented names score zero.","UniCat_Manufacturer_and_Brand_List.xlsx is described but was not supplied. Excerpt: Rheem Manufacturing | Whirlpool Corporation. ground truth.docx warns at least one delivery row may have mismatched manufacturer and brand."
"BRAND_NAME","Manufacturer and brand","Paired brand on UniCat manufacturer/brand master (described, not supplied). Excerpt: FRIGIDAIRE with registered mark; Whirlpool with registered mark. Input brand columns were placeholders on excerpt rows.","Conditional: not recoverable from E1/Unilog/DIB placeholders on the excerpt; may be recovered from manufacturer sources or Part_Desc tokens plus the master list.","No","Yes: must match approved BRAND_NAME exactly, symbols and all (ground truth.docx). List file not supplied.","No","Partial: pick the paired brand from the manufacturer row; if no brand, use manufacturer name (ground truth.docx).","Not specified in supplied files","Exact approved casing and registered/trademark symbols (ground truth.docx).","UniCat_Manufacturer_and_Brand_List.xlsx is described but was not supplied."
"TRADE_NAME","Manufacturer and brand","Present on Delivery Format schema. Empty on both excerpt rows. No construction rule in supplied files.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Empty in 2-row excerpt."
"MANUFACTURER_PART_NUMBER","Part numbers","Equals Mfg_Part_Num on both excerpt rows. No explicit copy rule in supplied files.","No","No","No","No","Observed identity with Mfg_Part_Num in excerpt only; rule not stated.","Not specified in supplied files","Not specified in supplied files","Excerpt: PDSH4816AF, WDTS7024RZ."
"ALTERNATE_PART_NUMBER","Part numbers","Delivery Format schema. Empty on both excerpt rows. No rule supplied.","Not specified in supplied files","No","No","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Empty in 2-row excerpt."
"Classpath","Taxonomy","Pipeline step taxonomy and classification (ground truth.docx). LOV is keyed by Classpath (described). Not a 1000-item input column; not listed as a 200-item Input added column.","No","Not specified in supplied files","Yes if using Unicat LOV: attributes apply to a given classpath (described). LOV file not supplied so allowed classpaths cannot be listed.","No","Not specified in supplied files","Not specified in supplied files","Must be a classpath for which LOV attributes apply (described). Excerpt separator is > with no spaces.","Excerpt both rows: Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers. ground truth.docx worked example prints spaces around >. Unicat_Lov_v1_0_Updated_With_Remarks.xlsx, FAUCETS_LOV.xlsx, and Fittings_LOV.xlsx are described but were not supplied."
"MOBILE_DESC","Descriptions","Generated content. Limit and worked example in ground truth.docx. Guidelines file not supplied.","Conditional: excerpt uses manufacturer, brand, item type, series, MPN, mounting; not all of those are on raw input.","Not mandated. ground truth.docx says content-guideline formulas can be encoded as prompts or validation rules. Guidelines file not supplied.","Indirect: must not invent values; constrained output (ground truth.docx).","Yes if units appear: only approved UOM forms; space between number and unit (ground truth.docx). Excerpt mobile descs have no units.","Partial: length checks possible; full formula not in supplied files.","60-80 characters (ground truth.docx)","Length 60-80. Excerpt lengths 75 and 64.","UNILOG_INTERNAL_CONTENT_GUIDELINES.docx is described in ground truth.docx but was not supplied; extra limits or formulas are not invented here. Frigidaire excerpt includes manufacturer+brand+item+series+MPN; Whirlpool omits manufacturer legal name and adds Built-in Mounting. No single formula can be confirmed from excerpt alone."
"INVOICE_DESC","Descriptions","Generated content. ground truth.docx: Invoice Desc (<=40 char, CAPS). Till-receipt use.","Conditional: excerpt tokens (LEG, voltage, amps, depth, sound) are not on raw Part_Desc.","Not mandated; prompts or rules (ground truth.docx). Guidelines file not supplied.","Indirect: invented values score zero (ground truth.docx).","Yes for units in the string. ground truth.docx: space between number and unit (24 in not 24in). Excerpt Frigidaire invoice has 50-1/4IN with no space before IN; conflict with the UOM space rule; guidelines file not supplied so the winner is not specified.","Partial: enforce CAPS and <=40 characters. Token recipe not supplied.","<=40 characters, CAPS (ground truth.docx)","All caps; max 40 characters. Excerpt lengths 38 and 39, both uppercase.","UNILOG_INTERNAL_CONTENT_GUIDELINES.docx is described in ground truth.docx but was not supplied; extra limits or formulas are not invented here. Excerpt uses hyphenated mixed number 50-1/4, consistent with ground truth.docx example 50.25 in -> 50-1/4 in. Decimal_Fraction.xlsx is described but was not supplied."
"SHORT_DESC","Descriptions","Called Product Title / Short Desc in ground truth.docx. Example formula: Product Title = Brand + Series + MPN + Item Type + key attributes. Full guidelines not supplied.","Conditional: series, mounting, finish not on raw input.","Not mandated; formulas may be prompts or validation rules.","Indirect: attribute values in the title must be constrained (ground truth.docx). Faucets LOV is described as fixing title word order; that file is not supplied and the excerpt is dishwashers.","Yes if units appear. Excerpt short descs have no numeric units.","Partial: Brand + Series + MPN + Item Type + key attributes is stated as an example formula.","Not specified in supplied files","Follow title construction from guidelines (file not supplied). Example formula above.","Excerpt lengths 115 and 96. Frigidaire matches Brand + Series + MPN + Dishwasher + With + Mounting + cycles + material. Whirlpool repeats Stainless Steel twice."
"LONG_DESC1","Descriptions","Generated long / product-page description. Worked example in ground truth.docx. Guidelines file not supplied.","Yes for values not on raw input (electrical, dimensions, sound, material, additional information).","Not mandated; prompts or rules.","Indirect: values must not be invented (ground truth.docx).","Yes","Partial: can assemble from validated attributes once they exist; assembly order not fully specified in supplied files.","Not specified in supplied files","Units: approved abbreviation and space before unit (ground truth.docx). Inch values as fractions/mixed numbers per Decimal_Fraction.xlsx (described). Excerpt uses 24 in, 24-1/4 in, 50-1/4 in, 120 V, 15 A, 47 dBA.","Excerpt lengths 390 and 405. Both rows include an Additional Information clause."
"RETAIL_DESC","Descriptions","Generated. Present in Delivery Format. Guidelines file not supplied.","Conditional: uses series, mounting, material from enriched attributes.","Not mandated.","Indirect.","Yes if units appear. Excerpt has none.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Excerpt lengths 75 and 74. Observed pattern: Series + item type + mounting + material. Not enough rows to treat this as a stated rule."
"MARKETING_DESCRIPTION","Descriptions","Marketing copy. ground truth.docx lists marketing copy as one rewrite. Excerpt filled on Whirlpool only.","Conditional: prose is not on raw input; sourcing rules still require manufacturer documentation if retrieved.","Not mandated in supplied files.","No","Yes if units appear.","No","Not specified in supplied files","Sourcing: manufacturer site/documentation only (ground truth.docx).","Excerpt length 214 on Whirlpool row; empty on Frigidaire row. No character limit stated in supplied files."
"ITEM_FEATURES_1","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_2","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_3","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_4","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_5","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_6","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_7","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_8","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_9","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_10","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_11","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_12","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_13","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_14","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_15","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_16","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_17","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_18","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_19","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"ITEM_FEATURES_20","Item features","Delivery Format schema (20 slots). ground truth.docx does not define a formula.","Conditional: not on raw input when filled.","Not mandated.","Not specified in supplied files","Yes if units appear.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Whirlpool excerpt fills slots 1-11; Frigidaire all empty. Slots 12-20 empty on both rows."
"With","Item features","Delivery Format schema. Excerpt values start with the word With. No formula in supplied files.","Conditional.","Not mandated.","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Excerpt: With CleanBoost trademark; With Washing 3rd Rack, Water Repellent Silverware Basket."
"Standard/Approvals","Compliance text","Manufacturer documentation / enrichment. No allowed-value file supplied for this field.","Yes","No","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Sourcing hierarchy (ground truth.docx).","Excerpt row 1 pipe-delimited: ASSE 1006|CEE Tier 2 Qualified|cUL Listed|ENERGY STAR Certified|NSF Certified|UL Listed. Row 2 empty."
"Prop 65","Supplemental product text","Delivery Format schema. Empty on both excerpt rows. No rule in supplied files.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Empty in 2-row excerpt."
"Application","Supplemental product text","Delivery Format schema. Empty on both excerpt rows. No rule in supplied files.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Empty in 2-row excerpt."
"Includes","Supplemental product text","Delivery Format schema. Empty on both excerpt rows. No rule in supplied files.","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Empty in 2-row excerpt."
"Product Name","Taxonomy / item type","Used as Item Type in the Product Title example formula (ground truth.docx). Excerpt both rows: Dishwasher.","No","Not specified in supplied files","Conditional: category specs may constrain item type (described for faucets/fittings; files not supplied).","No","Not specified in supplied files","Not specified in supplied files","Not specified in supplied files","Excerpt Product Name is Dishwasher; Fine is Dishwashers (plural)."
"ATTRIBUTE_LABEL 1","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 1","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 1","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 2","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 2","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 2","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 3","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
